episode,reinforce_no_baseline,reinforce_no_baseline_x_delta,reinforce_baseline_10.0,reinforce_baseline_10.0_x_delta,reinforce_baseline_20.0,reinforce_baseline_20.0_x_delta,reinforce_baseline_50.0,reinforce_baseline_50.0_x_delta,actor_critic,actor_critic_x_delta
92,10.487588159491606,-0.13155525887449593,71.85208513055557,0.22379216215406375,42.70779926770482,0.07830991809936794,146.14664547286156,0.570603291960535,42.04878809575597,0.12895580116306615
93,10.764112826253294,-0.15323318615702536,71.78477031121355,0.22323530697899666,32.426588359719624,0.05189695733838175,163.7144102886572,0.6472708404595494,42.49099157424989,0.12452928633564497
94,9.265700276204837,-0.09341691910307495,69.70287154341372,0.21455799046139973,34.417216851506346,0.05188369097450337,131.1276366451194,0.506289384173719,42.986398485022065,0.12851239384521862
95,10.593758279487066,-0.11472524020064219,73.49797490937327,0.22898014589554597,73.88033450232561,0.20793446930230586,178.0611050659496,0.7141003844195031,45.751477407743366,0.1426389944366601
96,10.42094354854088,-0.14005272732559354,73.0620075015842,0.2255268396738523,57.0576908388419,0.13727498463080975,115.65486054950472,0.4303835695108982,42.61262347348154,0.1334790786062574
97,10.4358777441105,-0.13192111628697653,74.79453790279842,0.23139633631488615,109.3314938123549,0.379791841917773,214.0298244172374,0.818458392946275,40.517449554525186,0.11670456338375697
98,9.75491448095236,-0.12142634020973893,73.30930607830939,0.22744452754493205,6.7684253154639435,-0.017686724540039667,153.2060041495278,0.603202216257822,42.327537139878274,0.13119699565685272
99,9.135329085035305,-0.2142157827707674,71.25648697845705,0.21904404746568726,7.330243865633242,-0.021168956087873524,182.48804616270564,0.7257162080191054,40.16132759652291,0.11385787091523442
100,11.666540421849083,-0.13802659219451277,74.79450775281795,0.23139204193434776,68.14004455409203,0.18591104000836622,145.64476661913366,0.5666029075025535,43.08975594881352,0.12929933084417797
101,9.926411255959096,-0.15994484496304653,73.16311153398355,0.2262783291710536,55.84738932869472,0.13549995561867054,203.57908281685334,0.8066216780759036,38.539337004276724,0.10888019892766167
102,10.176710357432766,-0.15794796523185411,74.84053519080348,0.2317206582048945,70.13151800179324,0.19392378661631257,210.829141345897,0.8167173531926369,43.228857588400146,0.1304267835845129
103,9.958340955956647,-0.1836486888591141,71.13257876842897,0.21802468695590319,58.112107460625985,0.16163972160250364,170.21391477299935,0.6753464307929042,44.45570454272658,0.14022419697165742
104,10.213486912166237,-0.14967547671957684,71.05215948160003,0.21737157671606608,92.61932428753123,0.30994018291566733,212.25964344083914,0.7963358140945157,42.68524797108043,0.13402845798987295
105,9.959486756618634,-0.16767231288865556,73.01285513991188,0.22508929274702627,45.392956868108946,0.11575372215792999,208.7655628090665,0.8081774530769708,43.78724152604319,0.1348496823170644
106,9.623259965757743,-0.13044734530750737,72.65613635146332,0.2222456975526581,109.53572131491032,0.39742411006739364,206.62633891801096,0.7911865554250128,39.18610167231492,0.10608508207625798
107,10.02362957443124,-0.10329957698716116,73.14758659179198,0.22618668102130787,32.725304865609594,0.07027145560845523,181.63512151463647,0.7268310349461097,44.00906439205642,0.13666578605625115
108,8.917735250224553,-0.21589542532738148,74.94469682804973,0.2325724755509879,112.01103865448188,0.4092577254155123,213.41647797859142,0.8214752631454811,44.32934214562871,0.13921516236358464
109,9.97560449539058,-0.11165180052674355,72.97414393107242,0.22481306057104639,97.97098339385875,0.33687471393546126,200.44782669044955,0.7576453491727059,43.924920911989524,0.13599068144577278
110,10.878545718741588,-0.11241823048057419,72.37173591110162,0.21995574514747088,53.5820223507381,0.14134235973413506,208.60648338638123,0.799016901052346,45.16638360096459,0.1379087379361347
111,9.914959348715442,-0.15205521472138486,76.5059339721048,0.23710126977717413,100.34564538691055,0.35585293313675004,208.20866189836875,0.8037988605708608,45.46591627145548,0.1403372727766625
112,9.873204145959633,-0.16038749577004424,76.51324566203081,0.23711666013572405,113.72805183931767,0.41507759530135613,188.34992054062073,0.6528698880161428,42.575997112639286,0.12519894684797567
113,10.261781497756875,-0.15724261802450631,75.16587534018336,0.2263449084526679,101.84028598084397,0.359797112095066,192.35435449795048,0.7247716391929084,45.01192249714129,0.13668803917875239
114,10.246741360371082,-0.17335209871812848,73.96600440790964,0.22479692429373369,86.41623457247483,0.29228336617521194,179.62828767185863,0.6309794620985552,42.4944529535101,0.1245728300661453
115,10.388328342953848,-0.10039319514815388,74.83094566931035,0.22370251329912386,6.701863268942758,-0.01819515861629545,178.24616698155532,0.6438875921705348,46.48999020088013,0.14852153780558072
116,11.115287409509351,-0.1105229125063806,75.08029995229867,0.22566164136147704,77.22515426706042,0.250660869816682,118.42416525172806,0.3727096233853988,42.30112458263486,0.12301287310208077
117,10.045678519686666,-0.0871721959613116,78.13659342523368,0.22616623826376217,81.29371554421161,0.26728966413869637,172.18383658172803,0.5714318912927401,44.76530673982216,0.13469988239014244
118,9.879533305574617,-0.13637971315630945,74.48591680061347,0.22890085733886759,81.52432905123108,0.26918077831248244,182.38576860581327,0.6610177283867589,44.08663964681299,0.1372903881705977
119,10.686694046744297,-0.13786225300782054,75.93674533346925,0.23249788561277623,83.07957991506582,0.27359482006279034,151.71458711716582,0.5034524918649237,47.270519907268266,0.1467803804829309
120,10.42134421291376,-0.13203208839206498,78.67910807786784,0.23053200627028175,76.38551120846456,0.24398993794576207,171.50198365785886,0.613846497467216,49.13439979552459,0.1536978678001746
121,10.213046989475291,-0.08582640137835662,76.27951167455949,0.22727144718866643,80.62012354606863,0.26190427721837956,13.969896893696758,-0.007967495445595003,47.46510507514777,0.14835354156038777
122,9.87233804429109,-0.12049913407798332,73.13844018918705,0.22607984707120526,77.56332154937776,0.24550289313476817,45.84625798115266,0.09535194321514229,48.123866191242236,0.15360891954878253
